cmr_category,cmr_trait,bmr_category,bmr_trait,n,beta,pvalue
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Midbrain (whole brain),31828,0.040888134,2.93e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Pt (left hemisphere),31817,0.040413729,5.54e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Pt (right hemisphere),31815,0.031110851,2.85e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of PuA (left hemisphere),31822,0.049720413,7.02e-19
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of PuA (right hemisphere),31821,0.049081689,1.95e-18
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of PuM (left hemisphere),31824,0.046388359,1.24e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of PuM (right hemisphere),31822,0.042319837,4.27e-14
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of VA (right hemisphere),31824,0.032401031,7.41e-09
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Whole-thalamus (left hemisphere),31825,0.047617667,1.91e-17
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Whole-thalamus (right hemisphere),31823,0.043340311,1.04e-14
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of hippocampal-fissure (left hemisphere),31805,0.046611738,9.03e-17
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of hippocampal-fissure (right hemisphere),31821,0.045540986,4.38e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of insula (left hemisphere),31828,0.030024709,8.44e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of insula (left hemisphere),31827,0.029643392,1.23e-07
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Caudate (left hemisphere),31813,0.061942552,2e-28
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Caudate (right hemisphere),31817,0.065680039,9.19e-32
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Inf-Lat-Vent (left hemisphere),31461,0.041273487,2.41e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Inf-Lat-Vent (right hemisphere),31507,0.035339281,3.51e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Optic-Chiasm (whole brain),31827,0.044694435,1.5e-15
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Pallidum (left hemisphere),31824,0.054264918,3.42e-22
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Pallidum (right hemisphere),31827,0.054736066,1.49e-22
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Putamen (left hemisphere),31824,0.064559544,9.47e-31
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Putamen (right hemisphere),31821,0.063984166,3.14e-30
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of SubCortGray (whole brain),31828,0.06509556,3.07e-31
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Thalamus-Proper (left hemisphere),31820,0.032287767,8.37e-09
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of Thalamus-Proper (right hemisphere),31818,0.034457814,7.85e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of WM-hypointensities (whole brain),30135,0.086364294,5.45e-51
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of choroid-plexus (left hemisphere),31828,0.035432952,2.56e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of choroid-plexus (right hemisphere),31828,0.03282789,4.69e-09
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of 3rd-Ventricle (whole brain),31825,-0.032784654,4.92e-09
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of CC-Anterior (whole brain),31753,-0.03700567,4.22e-11
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of Thalamus-Proper (left hemisphere),31789,-0.043546194,8.01e-15
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of Thalamus-Proper (right hemisphere),31807,-0.040963739,2.7e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of VentralDC (left hemisphere),31778,-0.034408798,8.49e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of VentralDC (right hemisphere),31792,-0.035229204,3.32e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Regional and tissue intensity,Mean intensity of WM-hypointensities (whole brain),31741,0.035370344,2.91e-10
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical mean thickness,Mean thickness of insula (left hemisphere),31823,-0.031829132,1.35e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical mean thickness,Mean thickness of insula (left hemisphere),31828,-0.031737434,1.48e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical mean thickness,Mean thickness of insula (right hemisphere),31828,-0.028993466,2.3e-07
Left ventricle,LV mean myocardial wall thickness AHA 9,Grey white matter intensity contrast,Grey-white contrast in insula (left hemisphere),31828,-0.038416048,7.09e-12
Left ventricle,LV mean myocardial wall thickness AHA 9,Grey white matter intensity contrast,Grey-white contrast in insula (right hemisphere),31828,-0.036553459,6.88e-11
Left ventricle,LV mean myocardial wall thickness AHA 9,Grey white matter intensity contrast,Grey-white contrast in rostralanteriorcingulate (left hemisphere),31827,-0.031687194,1.57e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of G-insular-short (left hemisphere),31820,0.03058067,4.87e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of S-circular-insula-inf (left hemisphere),31827,0.03851943,6.23e-12
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of S-circular-insula-inf (right hemisphere),31828,0.029061863,2.15e-07
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of insula (left hemisphere),31826,0.042929373,1.83e-14
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of insula (left hemisphere),31826,0.042779499,2.26e-14
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of insula (right hemisphere),31827,0.040451617,5.23e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Cortical surface area,Area of insula (right hemisphere),31828,0.039750178,1.3e-12
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Caudate (left),32356,0.085093917,4.55e-53
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Caudate (right),32349,0.085738345,7.71e-54
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Insular Cortex (left),32614,0.029071013,1.51e-07
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Pallidum (left),31705,0.045592746,4.58e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Pallidum (right),31884,0.048433907,5.01e-18
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Putamen (left),32589,0.045779323,1.36e-16
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Putamen (right),32602,0.036906813,2.63e-11
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Thalamus (left),32602,0.037353739,1.51e-11
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of grey matter in Thalamus (right),32596,0.030776723,2.73e-08
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of caudate (left),32611,0.038578261,3.19e-12
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of caudate (right),32616,0.040806492,1.68e-13
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of putamen (left),32613,0.037527534,1.21e-11
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of global and regional brain,Volume of putamen (right),32614,0.042284449,2.18e-14
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of white matter hyperintensity,Total volume of deep white matter hyperintensities,29409,0.040203904,5.31e-12
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of white matter hyperintensity,Total volume of peri-ventricular white matter hyperintensities,30914,0.086245109,4.02e-52
Left ventricle,LV mean myocardial wall thickness AHA 9,Volume of white matter hyperintensity,Total volume of white matter hyperintensities (from T1 and T2_FLAIR images),30583,0.078196082,1.08e-42
Left ventricle,LV radial strain AHA 2,DTI dMRI,Weighted-mean FA in tract anterior thalamic radiation (right),32156,0.034094455,9.63e-10
Left ventricle,LV radial strain AHA 2,DTI dMRI,Mean L2 in superior longitudinal fasciculus on FA skeleton (left),32117,-0.034108734,9.7e-10
Descending aorta,Descending aorta distensibility,DTI dMRI,Weighted-mean MD in tract corticospinal tract (left),27543,-0.036883158,9.18e-10
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Weighted-mean L3 in tract posterior thalamic radiation (right),32108,0.034112055,9.72e-10
Ascending aorta,Ascending aorta distensibility,NODDI dMRI,Mean ISOVF in posterior limb of internal capsule on FA skeleton (right),27542,-0.03687634,9.26e-10
Left ventricle,LV end diastolic volume,DTI dMRI,Mean L2 in superior cerebellar peduncle on FA skeleton (left),32158,0.034085517,9.72e-10
Ascending aorta,Ascending aorta distensibility,NODDI dMRI,Weighted-mean ISOVF in tract anterior thalamic radiation (left),27503,-0.036896429,9.32e-10
Left ventricle,LV longitudinal strain Segment 1,DTI dMRI,Mean L2 in external capsule on FA skeleton (right),31226,0.034588715,9.73e-10
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Weighted-mean ISOVF in tract forceps minor,32153,0.034085255,9.75e-10
Left ventricle,LV longitudinal strain global,DTI dMRI,Mean MD in superior corona radiata on FA skeleton (left),31174,0.03461589,9.75e-10
Left atrium,LA minimum volume,DTI dMRI,Weighted-mean L1 in tract posterior thalamic radiation (right),31483,0.034477022,9.42e-10
Left ventricle,LV mean myocardial wall thickness AHA 1,DTI dMRI,Mean L1 in uncinate fasciculus on FA skeleton (right),32171,0.034074517,9.76e-10
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right),30362,0.035095759,9.54e-10
Left ventricle,LV radial strain AHA 2,DTI dMRI,Mean L2 in genu of corpus callosum on FA skeleton,32101,-0.034110583,9.77e-10
Left atrium,LA minimum volume,DTI dMRI,Mean L3 in cerebral peduncle on FA skeleton (right),31514,0.034446084,9.57e-10
Left atrium,LA ejection fraction,DTI dMRI,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),31689,0.034350359,9.57e-10
Right ventricle,RV ejection fraction,DTI dMRI,Mean MO in fornix cres+stria terminalis on FA skeleton (left),32177,-0.034088755,9.57e-10
Right atrium,RA minimum volume,DTI dMRI,Weighted-mean FA in tract corticospinal tract (left),31623,-0.03438567,9.58e-10
Left ventricle,LV mean myocardial wall thickness AHA 11,NODDI dMRI,Weighted-mean ISOVF in tract posterior thalamic radiation (left),32029,0.034144332,9.82e-10
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),30438,0.035044801,9.61e-10
Left ventricle,LV mean myocardial wall thickness AHA 11,NODDI dMRI,Mean ICVF in posterior limb of internal capsule on FA skeleton (right),32147,-0.034081043,9.83e-10
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),30447,0.035035756,9.65e-10
Left ventricle,LV mean myocardial wall thickness AHA 6,NODDI dMRI,Mean ICVF in cingulum hippocampus on FA skeleton (left),32147,-0.034075451,9.89e-10
Left ventricle,LV mean myocardial wall thickness AHA 13,NODDI dMRI,Weighted-mean ICVF in tract uncinate fasciculus (left),32156,-0.034063392,9.97e-10
Left ventricle,LV mean myocardial wall thickness AHA 11,NODDI dMRI,Mean ICVF in posterior limb of internal capsule on FA skeleton (left),32150,-0.034063641,1e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Weighted-mean FA in tract medial lemniscus (left),32165,-0.034048605,1.01e-09
Left ventricle,LV longitudinal strain global,DTI dMRI,Mean FA in genu of corpus callosum on FA skeleton,31261,-0.034514387,1.03e-09
Left ventricle,LV end diastolic volume,DTI dMRI,Mean MD in inferior cerebellar peduncle on FA skeleton (left),31975,0.034122662,1.04e-09
Left ventricle,LV cardiac output,DTI dMRI,Mean L1 in external capsule on FA skeleton (left),32130,0.034038562,1.04e-09
Left ventricle,LV longitudinal strain global,NODDI dMRI,Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left),31175,-0.034551563,1.05e-09
Left atrium,LA stroke volume,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (right),31747,0.034297103,9.81e-10
Left ventricle,LV mean myocardial wall thickness AHA 15,NODDI dMRI,Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right),32151,-0.034022441,1.05e-09
Left ventricle,LV cardiac output,DTI dMRI,Weighted-mean MD in tract uncinate fasciculus (right),32172,0.034010399,1.05e-09
Left ventricle,LV end systolic volume,NODDI dMRI,Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),32056,0.034071337,1.05e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,NODDI dMRI,Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left),32139,0.034023499,1.05e-09
Left atrium,LA maximum volume,DTI dMRI,Mean L2 in posterior limb of internal capsule on FA skeleton (left),31722,0.034295302,9.98e-10
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L3 in inferior cerebellar peduncle on FA skeleton (right),32036,0.034067832,1.07e-09
Left atrium,LA minimum volume,NODDI dMRI,Weighted-mean ISOVF in tract corticospinal tract (left),31508,0.034404327,1.01e-09
Left ventricle,LV end diastolic volume,DTI dMRI,Weighted-mean L3 in tract anterior thalamic radiation (left),32139,0.034013152,1.07e-09
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Weighted-mean ISOVF in tract anterior thalamic radiation (left),30408,0.034999694,1.03e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,NODDI dMRI,Mean ICVF in tapetum on FA skeleton (left),32157,-0.033999963,1.07e-09
Left atrium,LA minimum volume,DTI dMRI,Mean L3 in posterior thalamic radiation on FA skeleton (left),31445,0.034410228,1.04e-09
Left ventricle,LV cardiac output,NODDI dMRI,Weighted-mean ISOVF in tract superior longitudinal fasciculus (right),32158,0.033991272,1.08e-09
Left atrium,LA maximum volume,DTI dMRI,Weighted-mean L2 in tract acoustic radiation (right),31704,0.034267409,1.04e-09
Left ventricle,LV stroke volume,NODDI dMRI,Weighted-mean OD in tract uncinate fasciculus (right),32180,-0.033977228,1.08e-09
Left ventricle,LV radial strain AHA 3,DTI dMRI,Weighted-mean L1 in tract uncinate fasciculus (right),32154,-0.033990227,1.08e-09
Left ventricle,LV mean myocardial wall thickness AHA 6,NODDI dMRI,Mean ICVF in cingulum hippocampus on FA skeleton (right),32147,-0.033989812,1.09e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,NODDI dMRI,Mean OD in external capsule on FA skeleton (left),32154,-0.033987827,1.09e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (right),32143,0.033986997,1.1e-09
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean MD in fornix cres+stria terminalis on FA skeleton (right),27360,-0.036876169,1.05e-09
Left ventricle,LV cardiac output,DTI dMRI,Mean MO in superior corona radiata on FA skeleton (right),32193,-0.033958913,1.1e-09
Left ventricle,LV longitudinal strain global,DTI dMRI,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),31277,-0.034440038,1.11e-09
Left ventricle,LV myocardial mass,DTI dMRI,Mean L1 in splenium of corpus callosum on FA skeleton,32200,0.033934032,1.12e-09
Descending aorta,Descending aorta minimum area,NODDI dMRI,Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left),30147,0.035115765,1.07e-09
Left ventricle,LV mean myocardial wall thickness AHA 12,DTI dMRI,Mean L2 in cingulum hippocampus on FA skeleton (right),32151,0.033945332,1.14e-09
Descending aorta,Descending aorta minimum area,DTI dMRI,Weighted-mean MO in tract anterior thalamic radiation (right),30443,0.034940665,1.07e-09
Left atrium,LA ejection fraction,NODDI dMRI,Mean ICVF in cingulum cingulate gyrus on FA skeleton (left),31672,0.034255651,1.07e-09
Left atrium,LA ejection fraction,DTI dMRI,Weighted-mean L3 in tract parahippocampal part of cingulum (right),31483,-0.034357048,1.08e-09
Left ventricle,LV end diastolic volume,DTI dMRI,Mean FA in retrolenticular part of internal capsule on FA skeleton (right),32189,-0.033922807,1.15e-09
Left ventricle,LV mean myocardial wall thickness AHA 11,NODDI dMRI,Weighted-mean OD in tract posterior thalamic radiation (right),32165,-0.033934862,1.15e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean FA in medial lemniscus on FA skeleton (left),32138,-0.033947743,1.15e-09
Left ventricle,LV longitudinal strain global,DTI dMRI,Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left),30780,0.034685292,1.15e-09
Left ventricle,LV mean myocardial wall thickness AHA 7,Volume of global and regional brain,Volume of Hippocampus (right hemisphere),31828,0.032989524,3.94e-09
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean MD in cingulum hippocampus on FA skeleton (left),32131,0.033944189,1.16e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Weighted-mean FA in tract uncinate fasciculus (right),32167,-0.033923063,1.16e-09
Descending aorta,Descending aorta distensibility,NODDI dMRI,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right),27541,-0.03670745,1.1e-09
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Mean L3 in tapetum on FA skeleton (left),30391,0.034939767,1.11e-09
Left ventricle,LV mean myocardial wall thickness AHA 7,NODDI dMRI,Mean OD in external capsule on FA skeleton (right),32160,-0.033926132,1.16e-09
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Weighted-mean ISOVF in tract superior thalamic radiation (left),30427,0.034912892,1.12e-09
Left atrium,LA stroke volume,NODDI dMRI,Mean OD in uncinate fasciculus on FA skeleton (right),31763,-0.034167947,1.12e-09
Ascending aorta,Ascending aorta maximum area,NODDI dMRI,Weighted-mean ICVF in tract medial lemniscus (left),30423,-0.034910802,1.12e-09
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left),32166,0.03392034,1.16e-09
Left atrium,LA ejection fraction,DTI dMRI,Weighted-mean L1 in tract superior longitudinal fasciculus (right),31667,-0.03421421,1.13e-09
Ascending aorta,Ascending aorta minimum area,DTI dMRI,Mean MO in corticospinal tract on FA skeleton (right),30460,-0.034877935,1.14e-09
Ascending aorta,Ascending aorta maximum area,DTI dMRI,Weighted-mean L1 in tract posterior thalamic radiation (left),30405,0.034906382,1.14e-09
Left atrium,LA minimum volume,DTI dMRI,Mean L2 in cingulum hippocampus on FA skeleton (right),31500,0.033142884,4.01e-09
Left ventricle,LV mean myocardial wall thickness AHA 16,NODDI dMRI,Mean ISOVF in superior corona radiata on FA skeleton (right),32145,0.033923255,1.17e-09
Left atrium,LA stroke volume,DTI dMRI,Mean L3 in external capsule on FA skeleton (left),31645,0.034212735,1.15e-09
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Mean L3 in retrolenticular part of internal capsule on FA skeleton (right),32139,0.033909902,1.2e-09
Left ventricle,LV myocardial mass,DTI dMRI,Mean L2 in corticospinal tract on FA skeleton (right),32176,0.033882181,1.21e-09
Left ventricle,LV mean myocardial wall thickness AHA 8,DTI dMRI,Mean MD in fornix cres+stria terminalis on FA skeleton (left),31917,0.034014123,1.21e-09
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L2 in medial lemniscus on FA skeleton (right),32042,0.033945004,1.22e-09
Left ventricle,LV longitudinal strain global,DTI dMRI,Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right),30753,0.034642923,1.23e-09
Left ventricle,LV end diastolic volume,DTI dMRI,Mean MD in superior longitudinal fasciculus on FA skeleton (left),32105,0.033902794,1.23e-09
Left ventricle,LV end systolic volume,DTI dMRI,Weighted-mean FA in tract anterior thalamic radiation (left),32131,-0.033881297,1.24e-09
Right atrium,RA maximum volume,DTI dMRI,Mean FA in posterior limb of internal capsule on FA skeleton (left),31712,-0.034161172,1.17e-09
Left ventricle,LV mean myocardial wall thickness AHA 13,NODDI dMRI,Mean ISOVF in posterior thalamic radiation on FA skeleton (left),32088,0.033903013,1.24e-09
Left ventricle,LV radial strain AHA 2,DTI dMRI,Mean L2 in superior longitudinal fasciculus on FA skeleton (right),32125,-0.033875444,1.25e-09
Left ventricle,LV longitudinal strain global,DTI dMRI,Weighted-mean L3 in tract forceps minor,31278,0.034319563,1.27e-09
Descending aorta,Descending aorta maximum area,DTI dMRI,Mean L3 in sagittal stratum on FA skeleton (right),30428,0.034838289,1.21e-09
Left ventricle,LV longitudinal strain Segment 4,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (left),31226,0.034345783,1.27e-09
Left ventricle,LV end diastolic volume,NODDI dMRI,Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right),32166,0.033839662,1.27e-09
Ascending aorta,Ascending aorta minimum area,NODDI dMRI,Mean ISOVF in anterior corona radiata on FA skeleton (right),30421,0.034831432,1.23e-09
Left ventricle,LV mean myocardial wall thickness AHA 9,DTI dMRI,Mean FA in cingulum cingulate gyrus on FA skeleton (right),32171,-0.03383372,1.28e-09
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),27539,-0.036606638,1.23e-09
Left atrium,LA minimum volume,NODDI dMRI,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),31489,0.034233639,1.23e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Weighted-mean L1 in tract cingulate gyrus part of cingulum (left),32165,0.033832136,1.29e-09
Left ventricle,LV radial strain AHA 14,DTI dMRI,Mean MD in anterior limb of internal capsule on FA skeleton (left),31967,0.033934833,1.29e-09
Left ventricle,LV mean myocardial wall thickness AHA 15,NODDI dMRI,Mean ICVF in posterior limb of internal capsule on FA skeleton (right),32144,-0.033840614,1.29e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,NODDI dMRI,Mean ISOVF in sagittal stratum on FA skeleton (left),32161,0.033828389,1.29e-09
Right ventricle,RV end diastolic volume,DTI dMRI,Weighted-mean L1 in tract uncinate fasciculus (right),32198,0.03382812,1.27e-09
Left ventricle,LV radial strain AHA 2,DTI dMRI,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),32152,0.033828069,1.3e-09
Left ventricle,LV mean myocardial wall thickness AHA 13,NODDI dMRI,Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left),32136,0.033834337,1.3e-09
Left ventricle,LV mean myocardial wall thickness AHA 5,DTI dMRI,Mean FA in middle cerebellar peduncle on FA skeleton,32149,-0.033821769,1.31e-09
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean FA in splenium of corpus callosum on FA skeleton,32133,-0.033827181,1.32e-09
Left ventricle,LV radial strain AHA 3,DTI dMRI,Weighted-mean L2 in tract forceps minor,32151,-0.033814856,1.32e-09
Left ventricle,LV radial strain AHA 3,DTI dMRI,Mean FA in anterior limb of internal capsule on FA skeleton (left),32149,0.033812302,1.33e-09
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean L2 in cerebral peduncle on FA skeleton (right),32176,0.033791923,1.34e-09
Left ventricle,LV end systolic volume,NODDI dMRI,Weighted-mean ISOVF in tract corticospinal tract (right),32120,0.033819354,1.34e-09
Ascending aorta,Ascending aorta distensibility,DTI dMRI,Mean FA in middle cerebellar peduncle on FA skeleton,27523,0.036564598,1.3e-09
Right atrium,RA minimum volume,NODDI dMRI,Mean OD in superior corona radiata on FA skeleton (right),31630,0.034107114,1.3e-09
Left ventricle,LV end systolic volume,NODDI dMRI,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left),32131,0.033812625,1.34e-09
Left ventricle,LV mean myocardial wall thickness AHA 16,DTI dMRI,Weighted-mean L1 in tract posterior thalamic radiation (right),32131,0.033811525,1.34e-09
Descending aorta,Descending aorta distensibility,DTI dMRI,Mean L1 in fornix on FA skeleton,27565,-0.036527055,1.31e-09
Left ventricle,LV mean myocardial wall thickness AHA 6,DTI dMRI,Mean L3 in inferior cerebellar peduncle on FA skeleton (right),32031,0.033854558,1.36e-09
Left ventricle,LV mean myocardial wall thickness AHA 13,NODDI dMRI,Mean ICVF in tapetum on FA skeleton (right),32156,-0.033787882,1.36e-09
Left ventricle,LV myocardial mass,DTI dMRI,Mean L3 in cingulum hippocampus on FA skeleton (right),32175,0.033771661,1.37e-09
Left ventricle,LV radial strain AHA 3,NODDI dMRI,Mean ISOVF in posterior corona radiata on FA skeleton (right),32049,-0.033839299,1.37e-09
Left ventricle,LV end systolic volume,NODDI dMRI,Mean OD in corticospinal tract on FA skeleton (right),32133,0.033792143,1.37e-09
Descending aorta,Descending aorta maximum area,DTI dMRI,Mean L2 in retrolenticular part of internal capsule on FA skeleton (right),30438,0.034742237,1.34e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Mean MD in uncinate fasciculus on FA skeleton (left),32158,0.033778476,1.37e-09
Left ventricle,LV mean myocardial wall thickness AHA 15,DTI dMRI,Mean FA in posterior corona radiata on FA skeleton (right),32157,-0.033773004,1.38e-09
Left ventricle,LV mean myocardial wall thickness AHA 10,NODDI dMRI,Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right),32159,0.033753711,1.41e-09
Left atrium,LA minimum volume,DTI dMRI,Weighted-mean L3 in tract cingulate gyrus part of cingulum (right),31516,0.034139154,1.34e-09
Left atrium,LA stroke volume,DTI dMRI,Mean L2 in inferior cerebellar peduncle on FA skeleton (right),31611,0.034080931,1.35e-09
Left ventricle,LV mean myocardial wall thickness AHA 2,DTI dMRI,Mean MD in cerebral peduncle on FA skeleton (right),32172,0.033745113,1.41e-09
Left ventricle,LV mean myocardial wall thickness AHA 15,NODDI dMRI,Mean ICVF in tapetum on FA skeleton (right),32156,-0.033752884,1.41e-09
Left ventricle,LV mean myocardial wall thickness AHA 7,DTI dMRI,Mean L1 in fornix cres+stria terminalis on FA skeleton (right),32136,0.033761932,1.41e-09
Left ventricle,LV mean myocardial wall thickness AHA 14,DTI dMRI,Mean L1 in retrolenticular part of internal capsule on FA skeleton (right),32166,0.033743372,1.42e-09
Left ventricle,LV radial strain AHA 4,DTI dMRI,Mean L3 in superior corona radiata on FA skeleton (right),32083,-0.033781303,1.43e-09
